id,address,categories,primaryCategories,city,country,keys,latitude,longitude,menuPageURL,menus.amountMax,menus.amountMin,menus.description,menus.name,name,postalCode,priceRangeMin,priceRangeMax,province
AVz3Y-7h3D1zeR_xDAqm,4203 E Kiehl Ave,"Pizza,Restaurant,American restaurants,Pizza Place,Restaurants",Accommodation & Food Services,Sherwood,US,us/ar/sherwood/4203ekiehlave/-1051391616,34.8323,-92.1838,http://www.citysearch.com/profile/menu/1550074?singlePlatformId=shotgun-dans-pizza,7.98,7.98,,Cheese Pizza,Shotgun Dans Pizza,72120,0,25,AR
AVweGPFF_7pvs4fzAAzQ,25 E Camelback Rd,"Pizza,Pizza Place,Restaurants",Accommodation & Food Services,Phoenix,US,us/az/phoenix/25ecamelbackrd/-727422936,33.509266,-112.073044,,6,6,,Pizza Cookie,Sauce Pizza Wine,85012,0,25,AZ
AVwdRGa9_7pvs4fz4E3K,3703 Paxton Ave,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Cincinnati,US,us/oh/cincinnati/3703paxtonave/-619797122,39.144883,-84.432685,http://www.citysearch.com/profile/menu/8160503?singlePlatformId=mios-pizzeria-4,6.49,6.49,a saucelessampcomma double cheese pizza with a garlic accentampcomma served with tomatoes on a sesame seed crust,Pizza Blanca,Mios Pizzeria,45209,0,25,OH
AVwdX4psIN2L1WUfvJB1,30495 John R Rd,"Pizza,Carry-out food,Pizza Place,Restaurants",Accommodation & Food Services,Madison Heights,US,us/mi/madisonheights/30495johnrrd/-874863116,42.516669,-83.10663,,5.99,5.99,,Small Pizza,Hungry Howies Pizza,48071,25,40,MI
AVwdaeTtkufWRAb55pSH,3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,US,us/md/baltimore/3600easternave/-1270965359,39.28663,-76.566984,,5.49,5.49,,Pizza Sub,Spartan Pizzeria,21224,0,25,MD
AVwdaeTtkufWRAb55pSH,3600 Eastern Ave,"Pizza,American restaurants,Pizza Place,Pizza equipment and supplies,Restaurants",Accommodation & Food Services,Baltimore,US,us/md/baltimore/3600easternave/-1270965359,39.28663,-76.566984,,10.99,10.99,,White Pizza,Spartan Pizzeria,21224,0,25,MD
AVwckQhv_7pvs4fzwhpf,1834 Euclid Ave,Pizza Place,Accommodation & Food Services,Berkeley,US,us/ca/berkeley/1834euclidave/-1109825433,37.875496,-122.260345,,4.99,4.99,,Two Topping Pizza,La Vals,94709,0,25,CA
AVwckQhv_7pvs4fzwhpf,1834 Euclid Ave,Pizza Place,Accommodation & Food Services,Berkeley,US,us/ca/berkeley/1834euclidave/-1109825433,37.875496,-122.260345,,5.39,5.39,,Three Or More Topping Pizza,La Vals,94709,0,25,CA
AVwcvnln_7pvs4fzyfqZ,4819 Kerry Forest Pkwy,Pizza Place,Accommodation & Food Services,Tallahassee,US,us/fl/tallahassee/4819kerryforestpkwy/879863405,30.537097,-84.215156,,2.5,2.5,,Pizza,Brickyard Pizza,32309,0,25,FL
AVwcvnln_7pvs4fzyfqZ,4819 Kerry Forest Pkwy,Pizza Place,Accommodation & Food Services,Tallahassee,US,us/fl/tallahassee/4819kerryforestpkwy/879863405,30.537097,-84.215156,,11.99,11.99,,Pizza,Brickyard Pizza,32309,0,25,FL
AVwchRVZkufWRAb5wDIV,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,us/mi/grandrapids/406128thstse/-255474861,42.912878,-85.566939,,7.43,7.43,,Kids Cheese Pizza,Carrabbas Italian Grill,49512,25,40,MI
AVwchRVZkufWRAb5wDIV,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,us/mi/grandrapids/406128thstse/-255474861,42.912878,-85.566939,,18.21,18.21,,Create Your Own Pizza,Carrabbas Italian Grill,49512,25,40,MI
AVwchRVZkufWRAb5wDIV,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,us/mi/grandrapids/406128thstse/-255474861,42.912878,-85.566939,,15.92,15.92,Prosciutto arugula and shaved Parmesan drizzled with balsamic glaze,Prosciutto Arugula Pizza,Carrabbas Italian Grill,49512,25,40,MI
AVwchRVZkufWRAb5wDIV,4061 28th St SE,"Restaurant,Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Accommodation & Food Services,Grand Rapids,US,us/mi/grandrapids/406128thstse/-255474861,42.912878,-85.566939,,7.43,7.43,,Kids Pepperoni Pizza,Carrabbas Italian Grill,49512,25,40,MI
AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,us/ca/glendora/146nglendoraave/-1511428239,34.137502,-117.865331,http://www.singlepage.com/domenicos-jr,22,22,,Three Cheese Pizza,Domenicos Jr,91741,0,25,CA
AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,us/ca/glendora/146nglendoraave/-1511428239,34.137502,-117.865331,http://www.singlepage.com/domenicos-jr,11.5,11.5,Topped with mozzarellaampcomma feta and ricotta,Three Cheese Pizza,Domenicos Jr,91741,0,25,CA
AVwc7s1wIN2L1WUfqehD,146 N Glendora Ave,"Pizza,Restaurant,Pizza Place",Accommodation & Food Services,Glendora,US,us/ca/glendora/146nglendoraave/-1511428239,34.137502,-117.865331,http://www.singlepage.com/domenicos-jr,7,7,Includes 1 toppingampcomma additional toppings for 075 each,Pizza Sandwich,Domenicos Jr,91741,0,25,CA
AVwc2xOokufWRAb5zu4_,965 N Resler Dr,"Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,El Paso,US,us/tx/elpaso/965nreslerdr/1770159848,31.862409,-106.558431,http://www.citysearch.com/profile/menu/43189550?singlePlatformId=little-caesars-pizza-1507,5,5,pepperoni or cheese original round no limit carry out plus tax,HotNReady Large Pizza,Little Caesars Pizza,79912,0,25,TX
AVwcr0iskufWRAb5x6lr,8111 Rowlock Way,"Pizza,Restaurant,Pizza Place,Restaurants",Accommodation & Food Services,Raleigh,US,us/nc/raleigh/8111rowlockway/1763694843,35.884857,-78.737707,,11.99,11.99,,"15"" Plain Cheese Pizza",Tonys Pizza,27613,0,25,NC
