,Title,Developer(s),Publisher(s),Genre,Release date,ref
0,AdVenture Capitalist,Hyper Hippo Productions,Kongregate,Incremental,21 Dec 2014,
1,AdVenture Communist,Hyper Hippo Productions,Kongregate,Incremental,16 Nov 2017,
2,Adventures of Mana,Square Enix,Square Enix,action role-playing,4 Feb 2016,
3,After Burner Climax,Sega AM2,Sega,"combat flight simulator,shoot 'em up",30 Mar 2013,
4,Alien Hive,Appxplore,,sliding puzzle,Mar 2013,
5,Alpha Betty Saga,King,King,tile-matching,13 Apr 2015,
6,Alto's Adventure,Snowman,Snowman,endless runner,19 Feb 2015,
7,Among Us,Innersloth,Innersloth,social deduction game,15 Jun 2018,
8,Angry Birds,Rovio Entertainment,Rovio Entertainment,puzzle,19 Oct 2010,
9,Angry Birds 2 [a][2],Rovio Entertainment,Rovio Entertainment,puzzle,30 Jul 2013,
10,Angry Birds Epic,Chimera Entertainment,Rovio Entertainment,role-playing,12 Jun 2014,
11,Angry Birds Friends,Rovio Entertainment,Rovio Entertainment,puzzle,16 May 2013,[3]
12,Angry Birds Go!,"Rovio Entertainment,Exient Entertainment",Rovio Entertainment,racing,11 Dec 2013,
13,Angry Birds Match,Rovio Entertainment,Rovio Entertainment,tile-matching,30 Aug 2017,
14,Angry Birds Rio,Rovio Entertainment,Rovio Entertainment,puzzle,22 Mar 2011,
15,Angry Birds Seasons,Rovio Entertainment,Rovio Entertainment,puzzle,21 Oct 2010,
16,Angry Birds Space,Rovio Entertainment,Rovio Entertainment,puzzle,22 Mar 2012,
17,Angry Birds Star Wars,Rovio Entertainment,"Rovio Entertainment, LucasArts",puzzle,8 Nov 2012,
18,Angry Birds Star Wars II,Rovio Entertainment,"Rovio Entertainment, LucasArts",puzzle,18 Sep 2013,
19,Angry Birds Stella,Rovio Entertainment,Rovio Entertainment,puzzle,4 Sep 2014,
20,Angry Birds Transformers,"Rovio Entertainment,Exient Entertainment",Rovio Entertainment,run and gun,30 Oct 2014,[4]
21,Animal Crossing: Pocket Camp,Nintendo EPD,Nintendo,social simulation,AU: 25 Oct 2017WW: 21 Nov 2017,[5]
22,Apollo Justice: Ace Attorney,Capcom,Capcom,"adventure, visual novel",8 Dec 2016,[6]
23,Arknights,"Hypergryph,Studio Montagne",Yostar,tower defense,CHN: 29-30 May 2019,
24,Asphalt 8: Airborne,Gameloft,Gameloft,racing,22 Aug 2013,
25,Asphalt Xtreme,Gameloft,Gameloft,racing,27 Oct 2016,
26,Asphalt 9: Legends,Gameloft Barcelona,Gameloft,racing,27 Feb 2018,
27,AssaultCube,Rabid Viper Prouctions,Rabid Viper Prouctions,First-person shooter,21 May 2021,[7][8]
28,Banana Kong,FDG Entertainment,Co.KG,endless runner,24 Jan 2013,
29,Backbreaker,NaturalMotion,505 Games,action,5 May 2010,
30,Before Your Eyes,GoodbyeWorld Games,Skybound Games,"adventure, indie",8 April 2021,
31,Blitz Brigade,Gameloft,Gameloft,first-person shooter,9 May 2013,
32,Blossom Blast Saga,King,King,puzzle,5 Nov 2015,
33,Boom Beach,Supercell,Supercell,strategy,26 Mar 2014,
34,Bravely Default: Fairy's Effect,Square Enix,Square Enix,massively multiplayeronline role-playing,JP: 23 Mar 2017,
35,Call of Duty: Mobile,Tencent Games,Activision,Shooter,27 Sep 2019,
36,Call of Duty: Heroes,Faceroll Games,Activision,real-time strategy,26 Nov 2014,
37,Candy Crush Saga,King,King,tile-matching,14 Dec 2012,
38,Candy Crush Friends Saga,King,King,tile-matching,11 Oct 2018,
39,Candy Crush Jelly Saga,King,King,tile-matching,6 Jan 2016,
40,Candy Crush Soda Saga,King,King,tile-matching,20 Oct 2014,
41,The Cave,Double Fine Productions,Sega,"puzzle, platform, adventure",2 Dec 2013,
42,Chaos Rings III,Media Vision,Square Enix,role-playing,JP: 16 Oct 2014NA: 28 May 2015,
43,Choro 2021,Carl Zitelmann,Carl Zitelmann,"action, adventure",5 December 2021,[9]
44,Clash of Clans,Supercell,Supercell,strategy,7 Oct 2013,
45,Clash Royale,Supercell,Supercell,player versus player,2 Mar 2016,
46,Clumsy Ninja,NaturalMotion,NaturalMotion,action-adventure,21 Nov 2013,
47,Crashlands,Butterscotch Shenanigans,ButterscotchShenanigans,"action-adventure, role-playing",21 Jan 2016,
48,Crossy Road,Hipster Whale,Yodo1,"arcade, endless runner",23 Dec 2014,
49,CSR Classics,Boss Alien,NaturalMotion,racing,17 Oct 2013,
50,CSR Racing,Boss Alien,NaturalMotion,racing,28 Jun 2012,
51,CSR Racing 2,Boss Alien,NaturalMotion,racing,29 Jun 2016,
52,Cube Escape Collection,Rusty Lake,Rusty Lake,puzzle,14 Oct 2020,
53,Cyber Hunter,NetEase,NetEase,battle royale,26 Apr 2019,
54,Dead Trigger,Madfinger Games,Madfinger Games,first-person shooter,26 Jun 2012,
55,Dead Trigger 2,Madfinger Games,Madfinger Games,first-person shooter,23 Oct 2013,
56,Diamond Digger Saga,King,King,puzzle,13 Mar 2014,
57,Disney Crossy Road,Hipster Whale,Disney Mobile,"arcade, endless runner",28 Mar 2016,
58,Dissidia Final Fantasy: Opera Omnia,Square Enix,Square Enix,role-playing,30 Jan 2018,
59,Dr. Mario World,Nintendo EPD,Nintendo,puzzle,9 Jul 2019,[10]
60,Dragalia Lost,Cygames,Nintendo,action role-playing,JP: 27 Sep 2018NA: 27 Sep 2018,[11]
61,Dragon City,Social Point,Social Point,social-network,8 May 2012,
62,Dragon Quest VIII,Level-5,Square Enix,role-playing,JP: 12 Dec 2013WW: 28 May 2014,
63,Dungeon Hunter 5,Gameloft,Gameloft,action role-playing,11 Mar 2015,
64,Earn to Die 2,Toffee Games,Toffee Games,platform,20 Nov 2014,
65,The Elder Scrolls: Legends,Dire Wolf Digital,Bethesda Softworks,collectible card,27 Jul 2017,
66,Emily Wants to Play,Shawn Hitchcock,SKH Apps,survival horror,5 Feb 2016,
67,Farm Heroes Saga,King,King,tile-matching,7 Mar 2013,
68,Farm Heroes Super Saga,King,King,tile-matching,28 Jun 2016,
69,Fate/Grand Order,Aniplex,Delightworks,role-playing,30 Jul 2015,
70,FIFA 10,EA Canada,EA Sports,sport,AU: 30 Sep 2009EU: 2 Oct 2009NA: 20 Oct 2009,
71,FIFA 11,EA Canada,EA Sports,sport,NA: 28 Sep 2010AU: 30 Sep 2010EU: 1 Oct 2010,
72,FIFA 12,EA Canada,EA Sports,sport,NA: 28 Sep 2011AU: 30 Sep 2011EU: 1 Oct 2011,
73,FIFA 13,EA Canada,EA Sports,sport,NA: 25 Sep 2012AU: 27 Sep 2012EU: 28 Sep 2012JP: 18 Oct 2012,
74,FIFA 14,EA Canada,EA Sports,sport,23 Sep 2013,
75,FIFA 15,EA Canada,EA Sports,sport,NA: 23 Sep 2014EU: 25 Sep 2014UK: 26 Sep 2014,
76,FIFA 16,EA Canada,EA Sports,sport,NA: 22 Sep 2015EU: 24 Sep 2015,
77,FIFA Mobile,"EA Mobile, EA Canada",EA Sports,sport,11 Oct 2016,
78,Final Fantasy: Brave Exvius,A-Lim,Square Enix,role-playing,29 Jun 2016,
