Year,Cocoa,Coffee,Tea,Crude Oil,Coal,Natural Gas,Banana,Sugar,Orange,Barley,Maize,Sorghum,Rice,Wheat,Beef,Chicken,Lamb,Shrimps,Gold,Platinum,Silver,Cotton,Rubber,Tobacco,Coconut Oil,Groundnut Oil,Palm Oil,Soybean,Logs,Sawnwood
1960,0.59,0.92,1.03,1.63,,0.14,0.14,0.07,0.13,20.15,44.5,36.58,107.35,57.99,0.74,0.3,,1.61,35.27,83.5,0.91,0.65,0.78,1736.87,312.33,327,224.42,223.92,31.94,149.17
1961,0.48,0.9,0.95,1.57,,0.15,0.13,0.06,0.13,20.75,44.96,41.42,118.95,58.61,0.68,0.31,,1.69,35.25,83.5,0.92,0.67,0.6,1563.19,253.42,330.25,228.42,287.33,33.06,151.98
1962,0.46,0.83,0.97,1.52,,0.16,0.13,0.06,0.11,22.7,48.65,44.7,134.93,64.33,0.71,0.32,,2.25,35.23,83.5,1.08,0.65,0.56,1404.9,251.22,274.34,216.24,227,36.39,160.06
1963,0.55,0.81,0.95,1.5,,0.16,0.14,0.18,0.09,23.98,53.77,47.84,125.66,64.49,0.67,0.33,,2,35.09,80.93,1.28,0.65,0.52,1343.61,286.33,268.5,222.39,223.58,35.49,157.85
1964,0.51,1.01,0.93,1.45,,0.15,0.17,0.13,0.08,25.14,54.63,48.24,120.15,67.53,0.84,0.34,,1.81,35.1,88.48,1.29,0.65,0.49,1488.3,296.48,315.38,239.45,233,30.26,144.83
1965,0.37,1,1,1.42,,0.16,0.16,0.04,0.1,24.34,55.67,47.93,118.79,59.46,0.88,0.35,,1.99,35.12,98.04,1.29,0.64,0.5,1265.41,350.13,323.92,272.52,270,35.03,156.75
1966,0.52,0.93,0.87,1.36,,0.16,0.15,0.04,0.08,25.91,58.3,48.58,145.2,62.95,1.02,0.36,,2.31,35.13,99.72,1.29,0.62,0.47,1581.22,323.71,296.31,235.64,261.5,36.83,161.09
1967,0.6,0.86,0.84,1.33,,0.16,0.16,0.04,0.16,26.25,54.1,51.9,189.37,65.71,1.04,0.37,,2.29,34.95,110.25,1.55,0.68,0.39,1299.43,326.36,282.95,223.45,216.83,39.33,166.88
1968,0.72,0.87,0.75,1.32,,0.16,0.15,0.04,0.17,25.16,47.96,52.57,182.91,62.77,1.09,0.38,,2.58,38.93,117.21,2.14,0.68,0.38,1204.47,399.27,270.73,168.83,178.08,40.05,168.53
1969,0.9,0.88,0.73,1.27,,0.17,0.16,0.07,0.17,25.57,52.29,53.76,168.37,58.39,1.22,0.4,,2.87,41.08,124.19,1.79,0.63,0.5,1112.38,361.27,331.53,181.11,197.17,38.89,165.91
1970,0.68,1.15,0.84,1.21,7.8,0.17,0.17,0.08,0.17,26.36,58.4,51.8,126.31,54.9,1.3,0.42,,2.73,35.94,132.5,1.77,0.68,0.41,1075.98,397.18,378.55,260.05,286.33,43.13,175.41
1971,0.54,0.99,0.85,1.69,8.68,0.18,0.14,0.1,0.15,28.38,58.4,55.77,111.54,61.73,1.35,0.44,0.8,3.31,40.8,123.04,1.55,0.78,0.33,1042.65,365.53,440.62,260.94,303.75,43.27,175.72
1972,0.64,1.11,0.78,1.82,9.6,0.19,0.14,0.16,0.15,30.07,55.75,56.24,129.45,69.81,1.48,0.47,1.07,4.12,58.16,127.13,1.68,0.83,0.33,1073.64,234.06,425.93,217.26,240.58,41.12,170.93
1973,1.13,1.37,0.79,2.81,11.48,0.21,0.15,0.21,0.16,51.03,97.82,93.39,289.58,139.81,2.01,0.53,1.39,5,97.33,152.18,2.56,1.39,0.68,1128.02,513,546.17,377.54,436,68.03,223.53
1974,1.56,1.45,1.09,10.97,16.89,0.29,0.18,0.65,0.18,64.93,131.23,120.94,517.17,179.71,1.58,0.56,1.42,4.65,159.25,184.98,4.71,1.46,0.75,1482.07,997.58,1076.89,669.05,832.17,81.66,246.83
1975,1.25,1.44,1.14,10.43,26.84,0.43,0.22,0.45,0.23,58.98,119.64,111.87,341.43,149.06,1.33,0.58,1.48,5.89,161.03,169.87,4.42,1.22,0.56,1841.99,393.5,857.5,434.17,563.33,67.51,223.44
1976,2.05,3.15,1.19,11.63,27.16,0.58,0.26,0.25,0.22,55.79,112.37,105.21,234.68,132.92,1.58,0.61,1.57,8.31,124.82,159.65,4.36,1.75,0.77,2186.72,418.5,712.83,406.53,438.33,92.02,263.55
1977,3.79,5.17,1.95,12.57,28.68,0.79,0.27,0.18,0.25,47.89,95.35,88.37,252.23,103.22,1.51,0.65,1.7,7.91,147.72,158.32,4.64,1.63,0.81,2253.93,578.17,852.75,530.03,580.25,92.57,264.98
1978,3.4,3.59,1.41,12.92,29.06,0.91,0.29,0.17,0.3,54.96,100.74,93.84,345.66,127.75,2.14,0.7,2.19,8.07,193.24,260.65,5.42,1.61,0.99,2268.02,683.21,1079.17,600.33,607,97.36,272.28
