Description,Price,Rating,ReviewCount,Url
The 5 AM Club,140,4.5,23597,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODg1NDQ2ODkwNzc5OTM2OjE2Njg4OTA3ODk6c3BfYXRmOjIwMDE4MTUyNTUxOTA0OjowOjo&url=%2FAM-Club-Your-Morning-Elevate%2Fdp%2F9387944891%2Fref%3Dsr_1_1_sspa%3Fkeywords%3DBest%2Bselling%2Bbooks%26qid%3D1668890789%26qu%3DeyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%253D%253D%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
The Monk Who Sold His Ferrari,140,4.5,24949,https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo3ODg1NDQ2ODkwNzc5OTM2OjE2Njg4OTA3ODk6c3BfYXRmOjIwMDU0NjcwMTk2MjA0OjowOjo&url=%2FMonk-Who-Sold-His-Ferrari%2Fdp%2F817992162X%2Fref%3Dsr_1_2_sspa%3Fkeywords%3DBest%2Bselling%2Bbooks%26qid%3D1668890789%26qu%3DeyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%253D%253D%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
The Power of Your Subconscious Mind,105,4.5,63010,https://www.amazon.in//Power-Your-Subconscious-Mind-Success/dp/8172345666/ref=sr_1_3?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-3
"Life's Amazing Secrets: How to Find Balance and Purpose in Your Life | Inspirational Zen book on motivation, self-development & healthy living",160,4.6,18379,https://www.amazon.in//Lifes-Amazing-Secrets-Balance-Purpose/dp/0143442295/ref=sr_1_4?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-4
"Do It Today: Overcome Procrastination, Improve Productivity",98,4.5,3206,https://www.amazon.in//Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=sr_1_5?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-5
"Little Colouring Books for Kids (Set of 10 Books) - Gift to children for painting, drawing and colouring - Alphabets, Animals, Birds, Flags, Flowers, ... Transport, Vegetables - 3 to 6 years old",195,4.3,1732,https://www.amazon.in//Colouring-Books-Set-10/dp/9350332167/ref=sr_1_6?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-6
"Karma: A Yogi's Guide to Crafting Your Destiny | Spirituality, Self-improvement & Self help books by Sadhguru | Penguin",159,4.7,10171,https://www.amazon.in//Karma-PUBLISHERS-BESTSELLER-spirituality-self-improvement/dp/0143452673/ref=sr_1_7?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-7
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",179,4.4,5787,https://www.amazon.in//First-Mythology-Tale-Illustrated-Books/dp/9390292964/ref=sr_1_8?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-8
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life (Mark Manson Collection Book 1),151.05,4.5,79543,https://www.amazon.in//Subtle-Art-Not-Giving-Counterintuitive-ebook/dp/B019MMUA8S/ref=sr_1_9?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-9
Wise and Otherwise: A salute to Life,185,4.6,5250,https://www.amazon.in//Wise-Otherwise-salute-Sudha-Murty/dp/0143062220/ref=sr_1_10?keywords=Best+selling+books&qid=1668890789&qu=eyJxc2MiOiI2LjgwIiwicXNhIjoiNi4zOCIsInFzcCI6IjUuODAifQ%3D%3D&sr=8-10
