this_year_rank ,last_year_rank ,company ,leadership ,country ,2020_defense_revenue,2019_defense_revenue ,%_defense_revenue_change ,2020_total_revenue ,revenue_fom_defense
1,1,Lockheed Martin 1 2,"James D. Taiclet, Chairman, President and CEO",U.S.,"$62,562.00 ","$56,606.00 ",11%,"$65,398.00 ",96%
2,NEW,Raytheon Technologies 3,"Greg Hayes, CEO and Executive Chairman",U.S.,"$42,000.00 ",N/A,N/A,"$65,000.00 ",65%
3,2,Boeing 4,"David Calhoun, President and CEO",U.S.,"$32,400.00 ","$34,300.00 ",-6%,"$58,158.00 ",56%
4,4,Northrop Grumman,"Kathy J. Warden, Chairman, CEO and President",U.S.,"$31,400.00 ","$28,600.00 ",10%,"$36,799.00 ",85%
5,3,General Dynamics 5,"Phebe Novakovic, Chairman and CEO",U.S.,"$29,800.00 ","$29,512.00 ",1%,"$37,900.00 ",79%
6,6,Aviation Industry Corporation of China,"Tan Ruisong, Chairman of the Board, and Luo Ronghuai, President",China,"$25,468.59 ","$25,075.38 ",2%,"$67,911.42 ",38%
7,7,BAE Systems 1,"Charles Woodburn, Group CEO",U.K.,"$23,502.38 ","$21,033.27 ",12%,"$24,739.35 ",95%
8,8,China North Industries Group Corporation Limited,"Jiao Kaihe, Chairman, and Liu Dashan, President",China,"$15,249.27 ","$14,771.60 ",3%,"$70,303.18 ",22%
9,9,L3Harris Technologies 6,"Bill Brown, Chair and CEO",U.S.,"$14,936.00 ","$14,602.00 ",2%,"$18,194.00 ",82%
10,NEW,China State Shipbuilding Corporation Limited 7,"Lei Fanpei, Chairman, and Yang Jincheng, Director and General Manager",China,"$13,379.35 ","$10,481.85 ",28%,"$66,911.23 ",20%
11,11,China Aerospace Science and Industry Corporation,"Yuan Jie, Chairman, and Liu ShiQuan, President",China,"$12,060.26 ","$12,035.25 ",0%,"$37,702.80 ",32%
12,12,Airbus 8,"Guillaume Faury, CEO",Netherlands/France,"$12,004.28 ","$11,266.57 ",7%,"$56,970.41 ",21%
